Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
0,25.04,100,7.47373928015245,12.6728622576498,1.26610646500223,1.27907771632383,0.0102438686987546,161.15483571343,158.837568358393,78
0,25.04,100,7.31472355078751,12.5622426198307,1.26569145845685,1.27880173225316,0.0102451053032713,161.545198537105,159.301021829401,79
0,25.04,100,7.1590911348133,12.4505932779362,1.26528492143281,1.27852279025749,0.0102463051037879,161.921201165918,159.749857170942,80
0,25.04,100,7.00677004683855,12.3380081259548,1.26488668108272,1.27824113347399,0.0102474682364593,162.282940730415,160.184125969937,81
0,25.04,100,6.85768983307603,12.2245775285268,1.26449656808672,1.27795699618907,0.0102485948568729,162.630521119447,160.603888922032,82
0,25.04,100,6.71178153875526,12.1103884286236,1.26411441658043,1.27767060410179,0.0102496851390828,162.964052592266,161.009215361515,83
0,25.04,100,6.56897767622856,11.9955244522435,1.26374006408447,1.27738217458006,0.0102507392746767,163.283651404657,161.400182807666,84
0,25.04,100,6.42921219375561,11.8800660102006,1.26337335143538,1.27709191690994,0.0102517574718746,163.589439448678,161.776876527064,85
0,25.04,100,6.2924204449523,11.7640903970847,1.26301412271789,1.27680003253814,0.0102527399546586,163.881543905597,162.139389111387,86
0,25.04,100,6.15853915888948,11.6476718874649,1.26266222519872,1.27650671530792,0.010253686961933,164.160096911635,162.487820070229,87
0,25.04,100,6.027506410828,11.5308818294101,1.26231750926158,1.27621215168857,0.0102545987467128,164.425235236126,162.82227543851,88
0,25.04,100,5.89926159357634,11.4137887353977,1.26197982834356,1.27591652099864,0.0102554755753416,164.67709997171,163.142867398033,89
0,25.04,100,5.7737453894577,11.2964583706781,1.26164903887284,1.275619995623,0.010256317726736,164.915836236215,163.449713912769,90
0,25.04,100,5.65089974287349,11.1789538391628,1.26132500020765,1.27532274122406,0.0102571254916567,165.141592885838,163.742938377458,91
0,25.04,100,5.53066783345065,11.0613356669013,1.26100757457645,1.27502491694711,0.0102578991720067,165.354522239305,164.022669279134,92
0,25.04,100,5.41299404976021,10.9436618832109,1.26069662701935,1.27472667562008,0.0102586390801525,165.554779812667,164.289039871168,93
0,25.04,100,5.2978239635951,10.8259880995204,1.26039202533076,1.27442816394772,0.0102593455382716,165.742524064392,164.542187859468,94
0,25.04,100,5.18510430479521,10.7083675859901,1.26009364000317,1.27412952270055,0.0102600188777225,165.917916150444,164.782255100453,95
0,25.04,100,5.07478293660807,10.5908513459647,1.25980134417206,1.27383088689848,0.0102606594384377,166.081119689036,165.009387310451,96
0,25.04,100,4.96680883157386,10.4734881883188,1.25951501356199,1.27353238598941,0.0102612675683394,166.232300534749,165.223733786168,97
0,25.04,100,4.86113204792335,10.3563247977498,1.25923452643375,1.27323414402287,0.010261843622776,166.371626561734,165.425447135884,98
0,25.04,100,4.75770370647817,10.2394058030726,1.25895976353263,1.27293627981884,0.0102623879639804,166.499267455695,165.614683021054,99
