Meal_size,Steady_insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
10,25.04,100,0.970752088130281,2.2664680948884,1.24685839817885,1.24819511538277,0.010110863091496,123.006735084062,122.910275327001,109.5
10,25.04,100,0.968686658155536,2.26371125232083,1.24685617929334,1.24819227130361,0.0101108625798797,123.007363542346,122.912204522142,109.6
10,25.04,100,0.966625622712651,2.26095588084388,1.24685396493616,1.24818942855465,0.0101108620443865,123.007968048959,122.914107702546,109.7
10,25.04,100,0.964568972451561,2.25820198667764,1.24685175509809,1.2481865871427,0.010110861485053,123.008548646052,122.915984909475,109.8
10,25.04,100,0.962516698042089,2.25544957600908,1.24684954976989,1.24818374707452,0.010110860901916,123.009105375777,122.917836184206,109.9
10,25.04,100,0.960468790173915,2.25269865499212,1.24684734894235,1.24818090835685,0.0101108602950124,123.009638280286,122.919661568038,110
10,25.04,100,0.958425239556523,2.24994922974783,1.2468451526063,1.24817807099639,0.0101108596643788,123.010147401728,122.921461102282,110.1
10,25.04,100,0.956386036919169,2.24720130636444,1.24684296075257,1.24817523499982,0.0101108590100522,123.010632782255,122.923234828271,110.2
10,25.04,100,0.95435117301083,2.24445489089754,1.24684077337201,1.24817240037376,0.0101108583320692,123.011094464014,122.924982787351,110.3
10,25.04,100,0.952320638600169,2.24170998937012,1.2468385904555,1.24816956712482,0.0101108576304668,123.011532489154,122.926705020884,110.4
10,25.04,100,0.950294424475488,2.23896660777274,1.24683641199391,1.24816673525957,0.0101108569052819,123.01194689982,122.92840157025,110.5
10,25.04,100,0.948272521444689,2.23622475206359,1.24683423797817,1.24816390478453,0.0101108561565512,123.012337738157,122.930072476841,110.6
10,25.04,100,0.946254920335232,2.23348442816866,1.24683206839919,1.24816107570622,0.0101108553843117,123.012705046304,122.931717782067,110.7
10,25.04,100,0.944241611994093,2.23074564198178,1.24682990324792,1.2481582480311,0.0101108545886004,123.013048866403,122.933337527352,110.8
